Participant,Total duration of fixation in AOI-DA,Share of Total Time (%)- DA,Total duration of fixation in AOI- Original,Share of Total Time (%)- Original,Average duration of fixation in AOI- DA,Average duration of fixation in AOI-Original,Number of fixations in AOI- DA,Number of fixations in AOI-Original,Time to first fixation in AOI-DA,Time to first fixation in AOI-Original,Duration of first fixation in AOI-DA,Duration of first fixation in AOI-Original,Total duration of Visit-DA,Total duration of Visit-Original,Average duration of Visit-DA,Average duration of Visit-Original,Number of Visits-DA,Number of Visits-Original,Label
2,1.599131,0.34258992,14.871705,3.186040562,0.319826,0.991447,5,15,3.907914,3.628085,0.959472,0.239861,1.639101,15.031556,0.546367,2.147365,3,7,4
2,2.418582,0.518145052,8.855071,1.897066637,0.604646,1.106884,4,8,31.57237,33.531233,0.17991,0.939477,2.478583,8.955,1.239292,2.23875,2,4,5
2,1.838987,0.393975484,9.654583,2.068350135,0.367797,1.206823,5,8,49.662099,51.101296,0.139913,1.019425,1.898936,9.7745,0.949468,3.258167,2,3,5
2,0.839533,0.1798574,8.575181,1.837104387,0.419766,0.952798,2,9,67.831912,68.011825,0.159916,0.099947,0.839533,8.715108,0.419766,2.178777,2,4,5
2,0.979472,0.209837239,10.554094,2.261056925,0.326491,1.507728,3,7,86.521445,87.580835,0.159912,1.299283,1.019424,10.634026,1.019424,3.544675,1,3,5
2,2.198763,0.471052116,16.390758,3.511474967,0.439753,0.964162,5,17,107.689578,105.570767,0.499704,0.35979,2.29871,16.610638,0.574678,1.845626,4,9,4
2,3.058271,0.655188861,11.09388,2.376698009,0.509712,0.79242,6,14,133.9948,135.034203,0.159895,0.239862,3.098256,11.293671,0.774564,2.258734,4,5,5
2,2.438665,0.522447534,12.533005,2.685009035,0.348381,0.835534,7,15,153.743701,154.683176,0.179896,0.719582,2.478634,12.832785,0.495727,2.138798,5,6,5
2,0.979471,0.209837025,11.473539,2.458034277,0.32649,0.88258,3,13,179.56918,175.851278,0.45974,0.499704,0.979471,11.81336,0.32649,1.968893,3,6,5
2,0.719596,0.15416269,9.0949,1.948446416,0.239865,0.757908,3,12,194.580745,195.080449,0.15991,0.259873,0.73958,9.554634,0.36979,4.777317,2,2,5
2,1.759003,0.376840107,13.132574,2.813457734,0.351801,0.938041,5,14,213.150278,212.090887,0.119929,0.179893,1.779,13.412399,0.44475,2.2354,4,6,2
2,1.019425,0.218396573,12.013184,2.573645154,0.254856,1.201318,4,10,234.81808,235.557676,0.139913,0.539673,1.039409,12.353017,0.34647,6.176508,3,2,4
2,1.319238,0.282627028,12.812818,2.744954789,0.439746,1.164802,3,11,253.567526,253.747408,0.159899,0.099947,1.319238,12.872764,0.439746,1.609096,3,8,4
2,1.59912,0.342587564,15.771067,3.378715431,0.53304,1.433733,3,11,274.495721,273.756138,0.679615,0.379776,1.59912,15.871012,0.53304,2.645169,3,6,5
2,0.319823,0.068517298,11.613452,2.488008546,0.319823,1.451682,1,8,298.002463,298.462201,0.319823,0.339806,0.319823,11.833329,0.319823,5.916664,1,2,5
2,1.05942,0.226964904,7.875592,1.687227898,0.264855,0.875066,4,9,317.691338,319.230483,0.439757,0.219878,1.079401,7.995488,0.3598,2.665163,3,3,1
2,0.679616,0.145597572,9.374693,2.008387885,0.679616,0.72113,1,13,332.662902,332.423024,0.679616,0.219879,0.679616,9.594601,0.679616,2.39865,1,4,5
2,0.679627,0.145599929,12.173117,2.607908409,0.339814,1.52164,2,8,347.55447,348.334034,0.239875,0.379805,0.719611,12.273048,0.719611,4.091016,1,3,4
2,1.419166,0.304035108,10.094349,2.162563429,0.709583,1.121594,2,9,366.943533,367.823012,0.839515,0.319824,1.419166,10.234221,0.709583,3.411407,2,3,4
2,2.738462,0.586674561,7.355843,1.575879441,0.391209,1.225974,7,6,383.614089,384.253722,0.159909,0.259875,2.798427,7.375827,0.559685,1.475165,5,5,5
2,1.359235,0.291195787,10.99382,2.35526165,0.453078,1.221536,3,9,43.860076,44.339799,0.199894,0.659631,1.379217,11.133714,0.689608,5.566857,2,2,2
